"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2024","0,1395","0,1407","0,1407","0,1389","","-0,92%"
"01.12.2023","0,1408","0,1402","0,1411","0,1391","","0,49%"
"01.11.2023","0,1401","0,1367","0,1405","0,1366","","2,53%"
"01.10.2023","0,1367","0,1370","0,1374","0,1365","","-0,21%"
"01.09.2023","0,1369","0,1380","0,1380","0,1360","","-0,58%"
"01.08.2023","0,1378","0,1397","0,1398","0,1367","","-1,60%"
"01.07.2023","0,1400","0,1383","0,1405","0,1378","","1,54%"
"01.06.2023","0,1379","0,1408","0,1417","0,1376","","-1,94%"
"01.05.2023","0,1406","0,1450","0,1451","0,1406","","-2,80%"
"01.04.2023","0,1447","0,1454","0,1464","0,1442","","-0,62%"
"01.03.2023","0,1456","0,1443","0,1467","0,1433","","0,93%"
"01.02.2023","0,1442","0,1483","0,1491","0,1434","","-2,58%"
"01.01.2023","0,1480","0,1446","0,1495","0,1444","","2,14%"
"01.12.2022","0,1449","0,1419","0,1451","0,1410","","2,86%"
"01.11.2022","0,1409","0,1366","0,1424","0,1365","","2,92%"
"01.10.2022","0,1369","0,1406","0,1407","0,1368","","-2,54%"
"01.09.2022","0,1405","0,1448","0,1451","0,1379","","-3,18%"
"01.08.2022","0,1451","0,1482","0,1487","0,1445","","-2,13%"
"01.07.2022","0,1483","0,1494","0,1496","0,1477","","-0,66%"
"01.06.2022","0,1492","0,1500","0,1507","0,1479","","-0,42%"
"01.05.2022","0,1499","0,1517","0,1517","0,1468","","-0,95%"
"01.04.2022","0,1513","0,1577","0,1577","0,1503","","-4,06%"
"01.03.2022","0,1577","0,1586","0,1586","0,1566","","-0,48%"
"01.02.2022","0,1585","0,1573","0,1586","0,1569","","0,81%"
"01.01.2022","0,1572","0,1569","0,1583","0,1566","","0,00%"
"01.12.2021","0,1572","0,1570","0,1578","0,1566","","0,07%"
"01.11.2021","0,1571","0,1561","0,1572","0,1560","","0,66%"
"01.10.2021","0,1561","0,1551","0,1568","0,1548","","0,65%"
"01.09.2021","0,1551","0,1548","0,1555","0,1544","","0,20%"
"01.08.2021","0,1548","0,1548","0,1549","0,1537","","0,00%"
"01.07.2021","0,1548","0,1547","0,1550","0,1535","","-0,06%"
"01.06.2021","0,1549","0,1570","0,1572","0,1541","","-1,34%"
"01.05.2021","0,1570","0,1543","0,1573","0,1542","","1,62%"
